Time,Avg. TTS,Avg. Speed,# Good Days,Min. Speed,Max Speed,After % cong ,After cong (36.0),95 %ile,90 %ile,85 %ile New,80 %ile,75 %ile,70 %ile,65 %ile,60 %ile,55 %ile,50 % New,45 %ile,40 %ile,35 %ile,30 %ile,25 %ile,20 %ile,15 %ile,10 %ile,5 %ile
0:00:00,719.4,60,84,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
0:05:00,719.4,60,84,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
0:10:00,719.4,60,84,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
0:15:00,719.4,60,84,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
0:20:00,719.4,60,85,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
0:25:00,719.4,60,85,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
0:30:00,719.4,60,85,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
0:35:00,719.4,60,85,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
0:40:00,719.4,60,85,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
0:45:00,719.4,60,85,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
0:50:00,719.4,60,85,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
0:55:00,719.4,60,85,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
1:00:00,719.4,60,85,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
1:05:00,719.4,60,85,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
1:10:00,720.0905882,59.94245822,85,55.47358951,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
1:15:00,719.4,60,85,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
1:20:00,719.4,60,85,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
1:25:00,719.4,60,85,60,60,0%,0%,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
