Time,Avg. TTS,Avg. Speed,# Good Days,Min. Speed,Max Speed,% cong (45.0),% cong (36.0),95 %ile,90 %ile,85 %ile New,80 %ile,75 %ile,70 %ile,65 %ile,60 %ile,55 %ile,50 %ile,45 %ile,40 %ile,35 %ile,30 %ile,25 %ile,20 %ile,15 %ile,10 %ile,5 %ile
0:00:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:05:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:10:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:15:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:20:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:25:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:30:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:35:00,378,60,83,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:40:00,378,60,83,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:45:00,378,60,83,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:50:00,378,60,83,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:55:00,378,60,83,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:00:00,378,60,83,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:05:00,378,60,84,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:10:00,378.6988095,59.88928254,84,51.9349668,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:15:00,378,60,84,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:20:00,378,60,84,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:25:00,378,60,84,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:30:00,378,60,83,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:35:00,378,60,83,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:40:00,378,60,83,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:45:00,378,60,84,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:50:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:55:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:00:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:05:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:10:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:15:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:20:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:25:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:30:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:35:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:40:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:45:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:50:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:55:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
3:00:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
3:05:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
3:10:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
3:15:00,378,60,85,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
3:20:00,378,60,84,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
