Time,Avg. TTS,Avg. Speed,# Good Days,Min. Speed,Max Speed,Before % cong,Before (36.0),95 %ile,90 %ile,85 %ile Old,80 %ile,75 %ile,70 %ile,65 %ile,60 %ile,55 %ile,50 % Old,45 %ile,40 %ile,35 %ile,30 %ile,25 %ile,20 %ile,15 %ile,10 %ile,5 %ile
0:00:00,723.5964706,59.80128671,85,54.56058505,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
0:05:00,722.0952941,59.92560865,85,54.27317196,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
0:10:00,722.9905882,59.85140153,85,54.27317196,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
0:15:00,722.7729412,59.86942446,85,54.49874055,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
0:20:00,722.8823529,59.86036293,85,54.27317196,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
0:25:00,721.2,60,85,60,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
0:30:00,722.2244186,59.91489471,86,53.46842951,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
0:35:00,722.0848837,59.9264726,86,54.27317196,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
0:40:00,724.144186,59.75605526,86,53.00992282,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
0:45:00,724.4,59.73495306,86,52.91916351,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
0:50:00,721.2,60,86,60,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
0:55:00,721.2,60,86,60,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
1:00:00,722.0848837,59.9264726,86,54.27317196,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
1:05:00,721.2,60,86,60,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
1:10:00,721.2,60,85,60,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
1:15:00,722.0952941,59.92560865,85,54.27317196,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
1:20:00,722.0952941,59.92560865,85,54.27317196,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
1:25:00,723.5809524,59.80256923,84,54.09,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
1:30:00,722.1059524,59.92472415,84,54.27317196,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
1:35:00,723.1630952,59.83712427,84,53.42222222,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
1:40:00,721.2,60,84,60,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
1:45:00,722.3488095,59.90457716,84,52.91916351,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
1:50:00,721.2,60,85,60,60,0%,0%,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2,721.2
