Time,Avg. TTS,Avg. Speed,# Good Days,Min. Speed,Max Speed,% cong (45.0),% cong (36.0),95 %ile,90 %ile,85 %ile Old,80 %ile,75 %ile,70 %ile,65 %ile,60 %ile,55 %ile,50 %ile,45 %ile,40 %ile,35 %ile,30 %ile,25 %ile,20 %ile,15 %ile,10 %ile,5 %ile
0:00:00,379.5149425,59.76049283,87,51.03510351,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:05:00,378,60,87,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:10:00,378,60,87,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:15:00,378.7,59.88909427,87,51.67464115,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:20:00,378,60,87,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:25:00,378,60,87,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:30:00,379.0011364,59.84150923,88,48.65908603,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:35:00,378,60,88,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:40:00,380.0125,59.68224729,88,47.93912492,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:45:00,381.1272727,59.50768056,88,47.79768177,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:50:00,378,60,88,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
0:55:00,378,60,88,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:00:00,378,60,88,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:05:00,378,60,88,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:10:00,378,60,87,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:15:00,378,60,87,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:20:00,378.508046,59.91946602,87,53.71861677,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:25:00,378.5244186,59.91687428,86,53.60434885,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:30:00,378,60,86,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:35:00,379.0325581,59.83654837,86,48.58611825,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:40:00,378,60,86,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:45:00,379.122093,59.82241715,86,47.79768177,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:50:00,378,60,87,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
1:55:00,378,60,88,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:00:00,378,60,88,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:05:00,379.8102273,59.71403183,88,47.79768177,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:10:00,379.0965909,59.82644145,88,47.79768177,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:15:00,379.8613636,59.70599322,88,41.86046512,60,0.011363636,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:20:00,378,60,88,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:25:00,378,60,88,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:30:00,378,60,88,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:35:00,378,60,88,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:40:00,378,60,88,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:45:00,378.7545455,59.88046948,88,51.03510351,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:50:00,378,60,88,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2:55:00,378,60,88,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
3:00:00,378,60,88,60,60,0,0,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
