Time,Mean Speed,Mean Volume,After,Frq Cong After,405es02744:_MN___1 good days,405es02744:_MN___2 good days,,,,Before,Time,Mean Speed,Mean Volume,Before,Frq Cong Before,405es02744:_MN___1 good days,405es02744:_MN___2 good days
0:00,60,54.86046512,329.1627907,0,86,86,,,,,0:00:00,60,45.59090909,273.5454545,0,87,88
0:05,60,54.68604651,328.1162791,0,86,86,,,,,0:05:00,60,49.67045455,298.0227273,0,88,88
0:10,60,51.15116279,306.9069767,0,86,86,,,,,0:10:00,60,44.98863636,269.9318182,0,88,88
0:15,60,44.97674419,269.8604651,0,86,86,,,,,0:15:00,60,41.27272727,247.6363636,0,88,88
0:20,60,40.3255814,241.9534884,0,86,86,,,,,0:20:00,60,38.375,230.25,0,88,88
0:25,60,37.87209302,227.2325581,0,86,86,,,,,0:25:00,60,35.52272727,213.1363636,0,88,88
0:30,60,35.55813953,213.3488372,0,86,86,,,,,0:30:00,60,33.36363636,200.1818182,0,88,88
0:35,60,34.98837209,209.9302326,0,86,86,,,,,0:35:00,60,33.20454545,199.2272727,0,88,88
0:40,60,33.55813953,201.3488372,0,86,85,,,,,0:40:00,60,29.73863636,178.4318182,0,88,87
0:45,60,30.63953488,183.8372093,0,86,85,,,,,0:45:00,60,28.90909091,173.4545455,0,88,87
0:50,60,30.74418605,184.4651163,0,86,85,,,,,0:50:00,60,27.45454545,164.7272727,0,88,87
0:55,60,29.11627907,174.6976744,0,86,85,,,,,0:55:00,60,26.14772727,156.8863636,0,88,87
1:00,60,27.31395349,163.8837209,0,86,85,,,,,1:00:00,60,26.55681818,159.3409091,0,88,87
1:05,60,26.53488372,159.2093023,0,86,85,,,,,1:05:00,60,25.5,153,0,88,87
1:10,60,27.86046512,167.1627907,0,86,85,,,,,1:10:00,60,26.17045455,157.0227273,0,88,87
1:15,60,27.11627907,162.6976744,0,86,86,,,,,1:15:00,60,22.85227273,137.1136364,0,88,87
1:20,60,24.20930233,145.255814,0,86,86,,,,,1:20:00,60,22.15909091,132.9545455,0,88,87
1:25,60,28.44186047,170.6511628,0,86,86,,,,,1:25:00,60,24.43181818,146.5909091,0,88,87
1:30,60,24.8372093,149.0232558,0,86,86,,,,,1:30:00,60,21.73863636,130.4318182,0,88,87
1:35,60,23.72093023,142.3255814,0,86,86,,,,,1:35:00,60,21.31818182,127.9090909,0,88,87
1:40,60,24.59302326,147.5581395,0,86,86,,,,,1:40:00,60,22.06818182,132.4090909,0,88,87
1:45,60,22.84883721,137.0930233,0,86,86,,,,,1:45:00,60,23.59090909,141.5454545,0,87,87
1:50,60,22.88372093,137.3023256,0,86,86,,,,,1:50:00,60,22.15909091,132.9545455,0,87,87
1:55,60,25.72093023,154.3255814,0,86,86,,,,,1:55:00,60,23.07954545,138.4772727,0,87,87
2:00,60,30.15116279,180.9069767,0,86,86,,,,,2:00:00,60,27.71590909,166.2954545,0,87,87
2:05,60,31.95348837,191.7209302,0,86,86,,,,,2:05:00,60,25.86363636,155.1818182,0,87,87
2:10,60,30.95348837,185.7209302,0,86,86,,,,,2:10:00,60,26.84090909,161.0454545,0,87,87
2:15,60,27.43023256,164.5813953,0,86,86,,,,,2:15:00,60,23.46590909,140.7954545,0,87,87
2:20,60,23.76744186,142.6046512,0,86,86,,,,,2:20:00,60,22.23863636,133.4318182,0,87,87
2:25,60,24.29069767,145.744186,0,86,86,,,,,2:25:00,60,23.54545455,141.2727273,0,87,87
2:30,60,26.06976744,156.4186047,0,86,86,,,,,2:30:00,60,24.31818182,145.9090909,0,87,87
2:35,60,29.59302326,177.5581395,0,86,86,,,,,2:35:00,60,26.32954545,157.9772727,0,87,87
2:40,60,28.93023256,173.5813953,0,86,86,,,,,2:40:00,60,25.69318182,154.1590909,0,87,87
2:45,60,27.75581395,166.5348837,0,86,86,,,,,2:45:00,60,28.40909091,170.4545455,0,87,87
2:50,60,24.94186047,149.6511628,0,86,86,,,,,2:50:00,60,27.125,162.75,0,87,87
2:55,60,24.09302326,144.5581395,0,86,86,,,,,2:55:00,60,23.125,138.75,0,87,87
3:00,60,24.79069767,148.744186,0,86,86,,,,,3:00:00,60,22.56818182,135.4090909,0,88,87
3:05,60,25.97674419,155.8604651,0,86,86,,,,,3:05:00,60,24.81818182,148.9090909,0,88,87
3:10,60,28.55813953,171.3488372,0,86,86,,,,,3:10:00,60,23.61363636,141.6818182,0,88,87
3:15,60,26.30232558,157.8139535,0,86,86,,,,,3:15:00,60,23.625,141.75,0,88,87
3:20,60,27.61627907,165.6976744,0,86,86,,,,,3:20:00,60,24.32954545,145.9772727,0,88,87
3:25,60,30.36046512,182.1627907,0,86,86,,,,,3:25:00,60,28.13636364,168.8181818,0,88,87
3:30,60,32,192,0,86,86,,,,,3:30:00,60,35.31818182,211.9090909,0,88,87
3:35,60,36.3255814,217.9534884,0,86,86,,,,,3:35:00,60,36.18181818,217.0909091,0,88,87
3:40,60,35.86046512,215.1627907,0,86,86,,,,,3:40:00,60,33.61363636,201.6818182,0,88,87
3:45,60,34.72093023,208.3255814,0,86,86,,,,,3:45:00,60,32.02272727,192.1363636,0,88,87
3:50,60,34.65116279,207.9069767,0,86,86,,,,,3:50:00,60,34.44318182,206.6590909,0,88,87
3:55,60,34.13953488,204.8372093,0,86,86,,,,,3:55:00,60,34.125,204.75,0,88,88
4:00,60,34.02325581,204.1395349,0,86,86,,,,,4:00:00,60,35.92045455,215.5227273,0,88,88
4:05,60,39.34883721,236.0930233,0,86,86,,,,,4:05:00,60,41.25,247.5,0,88,88
4:10,60,47.22093023,283.3255814,0,86,86,,,,,4:10:00,60,44.88636364,269.3181818,0,88,88
4:15,60,52.61627907,315.6976744,0,86,86,,,,,4:15:00,60,47.40909091,284.4545455,0,88,88
4:20,60,58.98837209,353.9302326,0,86,86,,,,,4:20:00,60,54.55681818,327.3409091,0,88,88
4:25,60,74.43023256,446.5813953,0,86,86,,,,,4:25:00,60,65.22727273,391.3636364,0,88,88
4:30,60,81.31395349,487.8837209,0,86,86,,,,,4:30:00,60,75.875,455.25,0,88,88
4:35,60,89.8255814,538.9534884,0,86,86,,,,,4:35:00,60,79.95454545,479.7272727,0,88,88
4:40,60,86.37209302,518.2325581,0,86,86,,,,,4:40:00,60,81.43181818,488.5909091,0,88,88
4:45,60,86.60465116,519.627907,0,86,86,,,,,4:45:00,60,80.97727273,485.8636364,0,88,88
4:50,60,88.98837209,533.9302326,0,86,86,,,,,4:50:00,60,84.98863636,509.9318182,0,88,88
4:55,60,91.45348837,548.7209302,0,86,86,,,,,4:55:00,60,88.67045455,532.0227273,0,88,88
5:00,60,101.6511628,609.9069767,0,86,86,,,,,5:00:00,60,103.8068182,622.8409091,0,88,88
5:05,60,110.0930233,660.5581395,0,86,86,,,,,5:05:00,60,117.5795455,705.4772727,0,88,88
5:10,60,117.3837209,704.3023256,0,86,86,,,,,5:10:00,60,123.3068182,739.8409091,0,88,88
5:15,60,127.6976744,766.1860465,0,86,86,,,,,5:15:00,60,133.25,799.5,0,88,88
5:20,60,136.8953488,821.372093,0,86,86,,,,,5:20:00,60,143.2613636,859.5681818,0,88,88
5:25,60,148.1627907,888.9767442,0,86,86,,,,,5:25:00,60,157.9204545,947.5227273,0,88,88
5:30,60,161.4883721,968.9302326,0,86,86,,,,,5:30:00,60,181.2272727,1087.363636,0,88,88
5:35,60,183.1511628,1098.906977,0,86,86,,,,,5:35:00,59.89102086,201.5454545,1209.272727,0,88,88
5:40,59.62755519,197.4069767,1184.44186,0,86,86,,,,,5:40:00,59.80437248,195.4772727,1172.863636,0,88,88
5:45,59.92714465,194.372093,1166.232558,0,86,86,,,,,5:45:00,59.64961504,191.4204545,1148.522727,0,88,88
5:50,60,182.9186047,1097.511628,0,86,86,,,,,5:50:00,60,178.6818182,1072.090909,0,88,88
5:55,59.87663074,176.9651163,1061.790698,0,86,86,,,,,5:55:00,60,173.6136364,1041.681818,0,88,88
6:00,60,178.9883721,1073.930233,0,86,86,,,,,6:00:00,60,176.6590909,1059.954545,0,88,88
6:05,60,187.7209302,1126.325581,0,86,86,,,,,6:05:00,60,185.8295455,1114.977273,0,88,88
6:10,58.92352106,199.2209302,1195.325581,0,86,86,,,,,6:10:00,59.53951321,191.4659091,1148.795455,0,88,88
6:15,56.70217693,209.7906977,1258.744186,0,86,86,,,,,6:15:00,59.00727245,197.25,1183.5,0,88,88
6:20,57.8833456,207.9418605,1247.651163,0,86,86,,,,,6:20:00,58.74262061,199.1136364,1194.681818,0,88,88
6:25,57.59207153,212.255814,1273.534884,0,86,86,,,,,6:25:00,57.77457668,209.7840909,1258.704545,0,88,88
6:30,58.11048811,216.7674419,1300.604651,0,86,86,,,,,6:30:00,56.2878822,221.5340909,1329.204545,0,88,88
6:35,53.88450142,238.1627907,1428.976744,0,86,86,,,,,6:35:00,54.92825165,232.7159091,1396.295455,0,88,88
6:40,54.25782823,248.6162791,1491.697674,0,86,86,,,,,6:40:00,54.17979773,238.6477273,1431.886364,1.136363636,88,88
6:45,53.80777517,244.0465116,1464.27907,0,86,86,,,,,6:45:00,54.33661958,236.4431818,1418.659091,1.136363636,88,88
6:50,55.3494386,229.2093023,1375.255814,0,86,86,,,,,6:50:00,55.54799915,225.4204545,1352.522727,1.136363636,88,88
6:55,56.76309924,219.0930233,1314.55814,1.162790698,86,86,,,,,6:55:00,58.5787095,206.25,1237.5,0,88,88
7:00,57.43117505,212.8372093,1277.023256,0,86,86,,,,,7:00:00,57.39654396,214.2159091,1285.295455,1.136363636,88,88
7:05,56.30484756,224.1860465,1345.116279,0,86,86,,,,,7:05:00,55.56941781,229.8522727,1379.113636,0,88,88
7:10,54.49477323,240.1627907,1440.976744,0,86,86,,,,,7:10:00,53.76340471,241.6022727,1449.613636,0,88,88
7:15,53.93847517,242.3023256,1453.813953,1.162790698,86,86,,,,,7:15:00,54.70986418,243.4545455,1460.727273,0,88,88
